overall_rank,app,module,portability_score,importance_score,combined_score,recommended_wave,current_manifest,source_files,source_lines,detected_blockers,importance_reason,source_dir
208,grid,base,5,2,25,W4-medium,no,3,546,none,通用但使用频率或链路位置较低,isis/src/base/apps/grid
209,highpass,base,5,2,25,W4-medium,no,1,77,none,通用但使用频率或链路位置较低,isis/src/base/apps/highpass
210,hsv2rgb,base,5,2,25,W4-medium,no,1,147,none,通用但使用频率或链路位置较低,isis/src/base/apps/hsv2rgb
211,ifft,base,5,2,25,W4-medium,no,1,147,none,通用但使用频率或链路位置较低,isis/src/base/apps/ifft
212,isis2ascii,base,5,2,25,W4-medium,no,3,158,none,通用但使用频率或链路位置较低,isis/src/base/apps/isis2ascii
213,isis2gml,base,5,2,25,W4-medium,no,1,92,none,通用但使用频率或链路位置较低,isis/src/base/apps/isis2gml
214,isis2raw,base,5,2,25,W4-medium,no,1,206,none,通用但使用频率或链路位置较低,isis/src/base/apps/isis2raw
215,isisexport,base,5,2,25,W4-medium,no,3,315,none,通用但使用频率或链路位置较低,isis/src/base/apps/isisexport
216,isisimport,base,5,2,25,W4-medium,no,7,1057,none,通用但使用频率或链路位置较低,isis/src/base/apps/isisimport
217,isisui,base,5,2,25,W4-medium,no,1,22,none,通用但使用频率或链路位置较低,isis/src/base/apps/isisui
218,kuwahara,base,5,2,25,W4-medium,no,1,82,none,通用但使用频率或链路位置较低,isis/src/base/apps/kuwahara
219,lineeq,base,5,2,25,W4-medium,no,1,139,none,通用但使用频率或链路位置较低,isis/src/base/apps/lineeq
220,lowpass,base,5,2,25,W4-medium,no,1,289,none,通用但使用频率或链路位置较低,isis/src/base/apps/lowpass
221,makeflat,base,5,2,25,W4-medium,no,1,902,none,通用但使用频率或链路位置较低,isis/src/base/apps/makeflat
222,mask,base,5,2,25,W0-current-batch,yes,1,131,none,通用但使用频率或链路位置较低,isis/src/base/apps/mask
223,median,base,5,2,25,W4-medium,no,1,266,none,通用但使用频率或链路位置较低,isis/src/base/apps/median
224,minmax,base,5,2,25,W4-medium,no,1,79,none,通用但使用频率或链路位置较低,isis/src/base/apps/minmax
225,mirror,base,5,2,25,W0-current-batch,yes,1,32,none,通用但使用频率或链路位置较低,isis/src/base/apps/mirror
226,mode,base,5,2,25,W4-medium,no,1,320,none,通用但使用频率或链路位置较低,isis/src/base/apps/mode
227,noproj,base,5,2,25,W4-medium,no,3,563,none,通用但使用频率或链路位置较低,isis/src/base/apps/noproj
228,noseam,base,5,2,25,W4-medium,no,3,204,none,通用但使用频率或链路位置较低,isis/src/base/apps/noseam
229,outline,base,5,2,25,W4-medium,no,1,116,none,通用但使用频率或链路位置较低,isis/src/base/apps/outline
230,pad,base,5,2,25,W4-medium,no,1,78,none,通用但使用频率或链路位置较低,isis/src/base/apps/pad
231,pca,base,5,2,25,W4-medium,no,1,144,none,通用但使用频率或链路位置较低,isis/src/base/apps/pca
232,percent,base,5,2,25,W4-medium,no,1,52,none,通用但使用频率或链路位置较低,isis/src/base/apps/percent
233,phoempglobal,base,5,2,25,W4-medium,no,1,508,none,通用但使用频率或链路位置较低,isis/src/base/apps/phoempglobal
234,phohillier,base,5,2,25,W4-medium,no,3,590,none,通用但使用频率或链路位置较低,isis/src/base/apps/phohillier
235,photomet,base,5,2,25,W4-medium,no,3,2507,none,通用但使用频率或链路位置较低,isis/src/base/apps/photomet
236,poly,base,5,2,25,W4-medium,no,1,63,none,通用但使用频率或链路位置较低,isis/src/base/apps/poly
237,pvldiff,base,5,2,25,W4-medium,no,1,260,none,通用但使用频率或链路位置较低,isis/src/base/apps/pvldiff
238,ratio,base,5,2,25,W0-current-batch,yes,1,46,none,通用但使用频率或链路位置较低,isis/src/base/apps/ratio
239,remrx,base,5,2,25,W4-medium,no,1,211,none,通用但使用频率或链路位置较低,isis/src/base/apps/remrx
240,rgb2hsv,base,5,2,25,W4-medium,no,1,145,none,通用但使用频率或链路位置较低,isis/src/base/apps/rgb2hsv
241,ringspt,base,5,2,25,W4-medium,no,3,549,none,通用但使用频率或链路位置较低,isis/src/base/apps/ringspt
242,rotate,base,5,2,25,W4-medium,no,2,167,none,通用但使用频率或链路位置较低,isis/src/base/apps/rotate
243,segment,base,5,2,25,W4-medium,no,3,83,none,通用但使用频率或链路位置较低,isis/src/base/apps/segment
244,shade,base,5,2,25,W4-medium,no,1,60,none,通用但使用频率或链路位置较低,isis/src/base/apps/shade
245,shadow,base,5,2,25,W4-medium,no,5,1474,none,通用但使用频率或链路位置较低,isis/src/base/apps/shadow
246,shadowtau,base,5,2,25,W4-medium,no,1,503,none,通用但使用频率或链路位置较低,isis/src/base/apps/shadowtau
247,sharpen,base,5,2,25,W4-medium,no,1,53,none,通用但使用频率或链路位置较低,isis/src/base/apps/sharpen
248,skypt,base,5,2,25,W4-medium,no,3,206,none,通用但使用频率或链路位置较低,isis/src/base/apps/skypt
249,skyrange,base,5,2,25,W4-medium,no,1,64,none,通用但使用频率或链路位置较低,isis/src/base/apps/skyrange
250,smtk,base,5,2,25,W4-medium,no,2,678,none,通用但使用频率或链路位置较低,isis/src/base/apps/smtk
251,specadd,base,5,2,25,W4-medium,no,1,35,none,通用但使用频率或链路位置较低,isis/src/base/apps/specadd
252,spechighpass,base,5,2,25,W4-medium,no,1,74,none,通用但使用频率或链路位置较低,isis/src/base/apps/spechighpass
253,speclowpass,base,5,2,25,W4-medium,no,1,69,none,通用但使用频率或链路位置较低,isis/src/base/apps/speclowpass
254,specpix,base,5,2,25,W4-medium,no,1,184,none,通用但使用频率或链路位置较低,isis/src/base/apps/specpix
255,spkwriter,base,5,2,25,W4-medium,no,12,2182,none,通用但使用频率或链路位置较低,isis/src/base/apps/spkwriter
256,tonematch,base,5,2,25,W4-medium,no,1,103,none,通用但使用频率或链路位置较低,isis/src/base/apps/tonematch
257,trackextract,base,5,2,25,W4-medium,no,1,283,none,通用但使用频率或链路位置较低,isis/src/base/apps/trackextract
258,translate,base,5,2,25,W4-medium,no,2,106,none,通用但使用频率或链路位置较低,isis/src/base/apps/translate
259,vicar2isis,base,5,2,25,W4-medium,no,1,34,none,通用但使用频率或链路位置较低,isis/src/base/apps/vicar2isis
260,cnet2mat,control,5,2,25,W4-medium,no,1,212,none,通用但使用频率或链路位置较低,isis/src/control/apps/cnet2mat
261,cnetbin2pvl,control,5,2,25,W4-medium,no,3,74,none,通用但使用频率或链路位置较低,isis/src/control/apps/cnetbin2pvl
262,cnetnewradii,control,5,2,25,W4-medium,no,1,209,none,通用但使用频率或链路位置较低,isis/src/control/apps/cnetnewradii
263,cnetpvl2bin,control,5,2,25,W4-medium,no,3,96,none,通用但使用频率或链路位置较低,isis/src/control/apps/cnetpvl2bin
264,cnetsplit,control,5,2,25,W4-medium,no,1,103,none,通用但使用频率或链路位置较低,isis/src/control/apps/cnetsplit
265,cnettable,control,5,2,25,W4-medium,no,1,431,none,通用但使用频率或链路位置较低,isis/src/control/apps/cnettable
266,cnetthinner,control,5,2,25,W4-medium,no,7,1552,none,通用但使用频率或链路位置较低,isis/src/control/apps/cnetthinner
267,cnetwinnow,control,5,2,25,W4-medium,no,3,523,none,通用但使用频率或链路位置较低,isis/src/control/apps/cnetwinnow
268,coreg,control,5,2,25,W4-medium,no,1,296,none,通用但使用频率或链路位置较低,isis/src/control/apps/coreg
269,deltack,control,5,2,25,W4-medium,no,1,543,none,通用但使用频率或链路位置较低,isis/src/control/apps/deltack
270,mat2cnet,control,5,2,25,W4-medium,no,1,526,none,通用但使用频率或链路位置较低,isis/src/control/apps/mat2cnet
271,seedgrid,control,5,2,25,W4-medium,no,1,299,none,通用但使用频率或链路位置较低,isis/src/control/apps/seedgrid
272,slither,control,5,2,25,W4-medium,no,4,1033,none,通用但使用频率或链路位置较低,isis/src/control/apps/slither
273,blobdump,system,5,2,25,W4-medium,no,1,108,none,通用但使用频率或链路位置较低,isis/src/system/apps/blobdump
274,csspckgen,system,5,2,25,W4-medium,no,1,111,none,通用但使用频率或链路位置较低,isis/src/system/apps/csspckgen
275,dempack,system,5,2,25,W4-medium,no,1,113,none,通用但使用频率或链路位置较低,isis/src/system/apps/dempack
276,isiscomplete,system,5,2,25,W4-medium,no,1,181,none,通用但使用频率或链路位置较低,isis/src/system/apps/isiscomplete
277,isisdataeval,system,5,2,25,W4-medium,no,5,2166,none,通用但使用频率或链路位置较低,isis/src/system/apps/isisdataeval
278,kerneldbgen,system,5,2,25,W4-medium,no,5,818,none,通用但使用频率或链路位置较低,isis/src/system/apps/kerneldbgen
279,messckgen,system,5,2,25,W4-medium,no,1,335,none,通用但使用频率或链路位置较低,isis/src/system/apps/messckgen
280,messspkgen,system,5,2,25,W4-medium,no,1,117,none,通用但使用频率或链路位置较低,isis/src/system/apps/messspkgen
281,prtloganalyzer,system,5,2,25,W4-medium,no,3,815,none,通用但使用频率或链路位置较低,isis/src/system/apps/prtloganalyzer
282,apollofindrx,apollo,4,2,24,W4-medium,no,3,332,mission_runtime_data,任务专用或较窄用途能力,isis/src/apollo/apps/apollofindrx
283,apollopaninit,apollo,4,2,24,W4-medium,no,1,963,mission_runtime_data,任务专用或较窄用途能力,isis/src/apollo/apps/apollopaninit
284,apollopanstitcher,apollo,4,2,24,W4-medium,no,4,905,mission_runtime_data,任务专用或较窄用途能力,isis/src/apollo/apps/apollopanstitcher
285,apolloremrx,apollo,4,2,24,W4-medium,no,3,182,mission_runtime_data,任务专用或较窄用途能力,isis/src/apollo/apps/apolloremrx
286,apollowarp,apollo,4,2,24,W4-medium,no,3,244,mission_runtime_data,任务专用或较窄用途能力,isis/src/apollo/apps/apollowarp
287,clemnirclean,clementine,4,2,24,W4-medium,no,1,75,mission_runtime_data,任务专用或较窄用途能力,isis/src/clementine/apps/clemnirclean
288,clemnirnoise,clementine,4,2,24,W4-medium,no,1,102,mission_runtime_data,任务专用或较窄用途能力,isis/src/clementine/apps/clemnirnoise
289,eisstitch,clipper,4,2,24,W4-medium,no,3,361,mission_runtime_data,任务专用或较窄用途能力,isis/src/clipper/apps/eisstitch
290,jitterfit,clipper,4,2,24,W4-medium,no,3,274,mission_runtime_data,任务专用或较窄用途能力,isis/src/clipper/apps/jitterfit
291,cnet2dem,control,4,2,24,W4-medium,no,8,2287,optional_stack,通用但使用频率或链路位置较低,isis/src/control/apps/cnet2dem
292,cnetcombinept,control,4,2,24,W4-medium,no,8,1664,optional_stack,通用但使用频率或链路位置较低,isis/src/control/apps/cnetcombinept
293,camcoeffs,dev,4,2,24,W4-medium,no,1,194,mission_runtime_data,任务专用或较窄用途能力,isis/src/dev/apps/camcoeffs
294,camdev,dev,4,2,24,W4-medium,no,3,1557,mission_runtime_data,任务专用或较窄用途能力,isis/src/dev/apps/camdev
295,camtest,dev,4,2,24,W4-medium,no,1,212,mission_runtime_data,任务专用或较窄用途能力,isis/src/dev/apps/camtest
296,m3loc2net,dev,4,2,24,W4-medium,no,1,137,mission_runtime_data,任务专用或较窄用途能力,isis/src/dev/apps/m3loc2net
297,hyb1pds4gen,hayabusa,4,2,24,W4-medium,no,1,164,mission_runtime_data,任务专用或较窄用途能力,isis/src/hayabusa/apps/hyb1pds4gen
298,kaguyasp2ascii,kaguya,4,2,24,W4-medium,no,1,425,mission_runtime_data,任务专用或较窄用途能力,isis/src/kaguya/apps/kaguyasp2ascii
299,lopdsgen,lo,4,2,24,W4-medium,no,1,286,mission_runtime_data,任务专用或较窄用途能力,isis/src/lo/apps/lopdsgen
300,lromakeflat,lro,4,2,24,W4-medium,no,1,514,mission_runtime_data,任务专用或较窄用途能力,isis/src/lro/apps/lromakeflat
301,lronac2pds,lro,4,2,24,W4-medium,no,3,324,mission_runtime_data,任务专用或较窄用途能力,isis/src/lro/apps/lronac2pds
302,lronacpho,lro,4,2,24,W4-medium,no,5,738,mission_runtime_data,任务专用或较窄用途能力,isis/src/lro/apps/lronacpho
303,lrowac2pds,lro,4,2,24,W4-medium,no,3,525,mission_runtime_data,任务专用或较窄用途能力,isis/src/lro/apps/lrowac2pds
304,lrowacpho,lro,4,2,24,W4-medium,no,7,1354,mission_runtime_data,任务专用或较窄用途能力,isis/src/lro/apps/lrowacpho
305,lrowacphomap,lro,4,2,24,W4-medium,no,7,1599,mission_runtime_data,任务专用或较窄用途能力,isis/src/lro/apps/lrowacphomap
306,mrf2pds,lro,4,2,24,W4-medium,no,3,590,mission_runtime_data,任务专用或较窄用途能力,isis/src/lro/apps/mrf2pds
307,mar10clean,mariner,4,2,24,W4-medium,no,1,107,mission_runtime_data,任务专用或较窄用途能力,isis/src/mariner/apps/mar10clean
308,mar10nonoise,mariner,4,2,24,W4-medium,no,1,114,mission_runtime_data,任务专用或较窄用途能力,isis/src/mariner/apps/mar10nonoise
309,mar10restore,mariner,4,2,24,W4-medium,no,1,147,mission_runtime_data,任务专用或较窄用途能力,isis/src/mariner/apps/mar10restore
310,mdis2pds,messenger,4,2,24,W4-medium,no,1,386,mission_runtime_data,任务专用或较窄用途能力,isis/src/messenger/apps/mdis2pds
311,mdisddr,messenger,4,2,24,W4-medium,no,1,403,mission_runtime_data,任务专用或较窄用途能力,isis/src/messenger/apps/mdisddr
312,mdisedrinfo,messenger,4,2,24,W4-medium,no,6,2250,mission_runtime_data,任务专用或较窄用途能力,isis/src/messenger/apps/mdisedrinfo
313,mdisproc,messenger,4,2,24,W4-medium,no,1,79,mission_runtime_data,任务专用或较窄用途能力,isis/src/messenger/apps/mdisproc
314,mocevenodd,mgs,4,2,24,W4-medium,no,1,132,mission_runtime_data,任务专用或较窄用途能力,isis/src/mgs/apps/mocevenodd
315,mocgap,mgs,4,2,24,W4-medium,no,1,87,mission_runtime_data,任务专用或较窄用途能力,isis/src/mgs/apps/mocgap
316,mocnoise50,mgs,4,2,24,W4-medium,no,1,331,mission_runtime_data,任务专用或较窄用途能力,isis/src/mgs/apps/mocnoise50
317,mocproc,mgs,4,2,24,W4-medium,no,1,113,mission_runtime_data,任务专用或较窄用途能力,isis/src/mgs/apps/mocproc
318,ctxevenodd,mro,4,2,24,W4-medium,no,1,143,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/ctxevenodd
319,hicalbeta,mro,4,2,24,W4-medium,no,1,493,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hicalbeta
320,hicalproc,mro,4,2,24,W4-medium,no,1,638,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hicalproc
321,hiccdstitch,mro,4,2,24,W4-medium,no,1,535,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hiccdstitch
322,hicolormos,mro,4,2,24,W4-medium,no,3,331,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hicolormos
323,hicrop,mro,4,2,24,W4-medium,no,3,550,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hicrop
324,hicubeit,mro,4,2,24,W4-medium,no,3,230,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hicubeit
325,hicubenorm,mro,4,2,24,W4-medium,no,3,812,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hicubenorm
326,hideal2pds,mro,4,2,24,W4-medium,no,1,649,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hideal2pds
327,hidestripe,mro,4,2,24,W4-medium,no,1,346,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hidestripe
328,hidtmgen,mro,4,2,24,W4-medium,no,3,875,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hidtmgen
329,hiequal,mro,4,2,24,W4-medium,no,1,59,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hiequal
330,hifringe,mro,4,2,24,W4-medium,no,1,227,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hifringe
331,hifurrows,mro,4,2,24,W4-medium,no,1,470,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hifurrows
332,higlob,mro,4,2,24,W4-medium,no,1,173,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/higlob
333,hijitreg,mro,4,2,24,W4-medium,no,5,1623,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hijitreg
334,hijitter,mro,4,2,24,W4-medium,no,1,724,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hijitter
335,himos,mro,4,2,24,W4-medium,no,3,363,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/himos
336,hinoise,mro,4,2,24,W4-medium,no,1,699,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hinoise
337,hirdrgen,mro,4,2,24,W4-medium,no,1,554,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hirdrgen
338,hisharpen,mro,4,2,24,W4-medium,no,1,275,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/hisharpen
339,histat,mro,4,2,24,W4-medium,no,1,339,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/histat
340,histitch,mro,4,2,24,W4-medium,no,1,437,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/histitch
341,marciflip,mro,4,2,24,W4-medium,no,3,124,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/marciflip
342,pds2hideal,mro,4,2,24,W4-medium,no,1,155,mission_runtime_data,任务专用或较窄用途能力,isis/src/mro/apps/pds2hideal
343,thmbasemap1,odyssey,4,2,24,W4-medium,no,1,414,mission_runtime_data,任务专用或较窄用途能力,isis/src/odyssey/apps/thmbasemap1
344,thmdriftcor,odyssey,4,2,24,W4-medium,no,1,70,mission_runtime_data,任务专用或较窄用途能力,isis/src/odyssey/apps/thmdriftcor
345,thmnoseam,odyssey,4,2,24,W4-medium,no,1,355,mission_runtime_data,任务专用或较窄用途能力,isis/src/odyssey/apps/thmnoseam
346,thmproc,odyssey,4,2,24,W4-medium,no,1,205,mission_runtime_data,任务专用或较窄用途能力,isis/src/odyssey/apps/thmproc
347,thmvisflat,odyssey,4,2,24,W4-medium,no,1,157,mission_runtime_data,任务专用或较窄用途能力,isis/src/odyssey/apps/thmvisflat
348,thmvistrim,odyssey,4,2,24,W4-medium,no,1,149,mission_runtime_data,任务专用或较窄用途能力,isis/src/odyssey/apps/thmvistrim
349,socetframesettings,socet,4,2,24,W4-medium,no,1,989,mission_runtime_data,任务专用或较窄用途能力,isis/src/socet/apps/socetframesettings
350,tgocassismos,tgo,4,2,24,W4-medium,no,3,346,mission_runtime_data,任务专用或较窄用途能力,isis/src/tgo/apps/tgocassismos
351,tgocassisrdrgen,tgo,4,2,24,W4-medium,no,3,308,mission_runtime_data,任务专用或较窄用途能力,isis/src/tgo/apps/tgocassisrdrgen
352,tgocassisstitch,tgo,4,2,24,W4-medium,no,3,339,mission_runtime_data,任务专用或较窄用途能力,isis/src/tgo/apps/tgocassisstitch
353,tgocassisunstitch,tgo,4,2,24,W4-medium,no,3,295,mission_runtime_data,任务专用或较窄用途能力,isis/src/tgo/apps/tgocassisunstitch
354,vikclean,viking,4,2,24,W4-medium,no,1,57,mission_runtime_data,任务专用或较窄用途能力,isis/src/viking/apps/vikclean
355,vikfixtrx,viking,4,2,24,W4-medium,no,1,107,mission_runtime_data,任务专用或较窄用途能力,isis/src/viking/apps/vikfixtrx
356,viknobutter,viking,4,2,24,W4-medium,no,1,118,mission_runtime_data,任务专用或较窄用途能力,isis/src/viking/apps/viknobutter
357,viknonoodle,viking,4,2,24,W4-medium,no,1,178,mission_runtime_data,任务专用或较窄用途能力,isis/src/viking/apps/viknonoodle
358,viknopepper,viking,4,2,24,W4-medium,no,1,88,mission_runtime_data,任务专用或较窄用途能力,isis/src/viking/apps/viknopepper
359,viknosalt,viking,4,2,24,W4-medium,no,1,108,mission_runtime_data,任务专用或较窄用途能力,isis/src/viking/apps/viknosalt
360,voyramp,voyager,4,2,24,W4-medium,no,1,202,mission_runtime_data,任务专用或较窄用途能力,isis/src/voyager/apps/voyramp
361,photemplate,base,3,2,23,W4-medium,no,1,878,posix_api,通用但使用频率或链路位置较低,isis/src/base/apps/photemplate
362,socetlinescankeywords,socet,2,2,22,W5-blocked-or-specialized,no,3,1014,external_process;mission_runtime_data,任务专用或较窄用途能力,isis/src/socet/apps/socetlinescankeywords
363,vdcomp,viking,2,2,22,W5-blocked-or-specialized,no,1,1538,mission_runtime_data;posix_api,任务专用或较窄用途能力,isis/src/viking/apps/vdcomp
364,isisminer,base,1,2,21,W5-blocked-or-specialized,no,49,9405,external_process;large_source;posix_api,通用但使用频率或链路位置较低,isis/src/base/apps/isisminer
365,mocuncompress,mgs,1,2,21,W5-blocked-or-specialized,no,50,7732,large_source;mission_runtime_data;posix_api,任务专用或较窄用途能力,isis/src/mgs/apps/mocuncompress
